"","AGE","AVPREARN","BONELIGB","CLAIMDT","DEPALLOW","ELIG2","L1QWAGES","L2QWAGES","L3QWAGES","L4QWAGES","MALE","MBASR","NOHSUB","NOHSUB1","POSPEARN","POSQEARN","PREPEARN","SRBEN1","SRBENYR","WGETOT1","WGETOT2","WGETOT3","WGETOT4","WGETOT5","WGETOT6","Z_HIE","Z_JSIE","A_HIE","A_JSIE","time_r","status_r","RACE"
"1",29,3367,0,9046,40,1,3202,3646,3055,3565,1,4498,1,1,1769,1769,3860,519,2941,3202,3860,1321,1769,0,0,1,0,1,0,42,1,"White"
"2",29,4175,0,8990,0,1,1555,4944,4946,5255,1,4186,0,0,0,0,977,0,0,977,2062,0,0,0,0,1,0,0,0,7,1,"Hispanic"
"3",24,2456,1,9004,0,1,3000,3000,3500,326,0,3120,0,0,911,911,3086,0,0,3086,2607,911,1302,1207,2855,0,0,0,0,7,1,"White"
"4",52,5725,1,8983,0,1,7477,7117,7104,1204,1,4186,1,1,6720,6720,6018,0,0,6018,5030,6720,5610,5690,5828,0,1,0,1,10,1,"White"
"5",28,4386,1,9039,48,1,4595,4255,4434,4261,1,5434,0,0,1300,5380,3934,1463,1463,3934,5090,1300,5380,5382,6662,0,0,0,0,59,1,"White"
"6",27,3715,1,9039,0,1,4160,3476,3887,3338,1,3874,0,0,3971,5730,5594,596,596,5594,4314,3971,5730,4466,2683,0,0,0,0,36,1,"White"
"7",28,7404,1,9074,0,1,7809,7809,7404,6596,0,4186,0,0,8412,8412,8050,1288,1288,7809,8050,2477,8412,7734,9036,0,0,0,0,64,1,"Other"
"8",36,4768,0,9032,0,1,5638,4807,4715,3912,0,4186,0,0,966,966,5665,4186,4186,5665,4899,0,0,0,966,1,0,0,0,182,0,"White"
"9",23,3103,0,8976,0,1,4312,3520,3072,1510,1,3770,0,0,2242,3749,0,1740,1740,0,0,2242,3749,4705,3712,0,0,0,0,99,1,"White"
"10",45,12826,0,9046,48,1,13461,11538,12500,13803,1,5434,0,0,0,0,0,5434,5434,0,0,4475,0,0,0,0,1,0,0,182,0,"White"
"11",27,2564,0,9011,40,1,0,3200,3345,3711,0,4446,0,0,2708,2708,3174,4446,4446,3174,371,0,0,0,2708,1,0,1,0,182,0,"Black"
"12",50,12495,0,8983,48,1,11483,13507,13507,11483,1,5434,0,0,2125,0,14013,5434,5434,14013,26618,2125,0,0,0,0,1,0,1,182,0,"White"
"13",43,7308,0,8990,48,1,7475,8757,6500,6500,1,5434,1,1,0,0,7475,1463,1463,7475,5175,0,0,0,0,1,0,1,0,57,1,"White"
"14",31,3256,0,8976,48,1,0,5231,4334,3457,1,5434,0,0,0,0,4584,1881,1881,4584,2437,0,0,0,0,0,1,0,1,72,1,"Hispanic"
"15",25,5127,1,8983,0,1,0,8595,7004,4907,0,4186,0,0,5380,5380,9473,483,483,9473,4727,5380,6417,9086,6713,1,0,1,0,38,1,"White"
"16",54,3762,0,8990,0,1,0,5233,4950,4864,1,4186,0,0,708,4250,4223,4186,4186,4223,4991,0,708,4250,2833,1,0,1,0,182,0,"White"
"17",44,2284,0,8997,0,1,2594,2414,2340,1787,0,2418,0,0,53,0,2709,2418,2418,2709,1958,53,0,0,0,0,1,0,1,182,0,"White"
