"","AGE","AVPREARN","BENEPAID","BENPDBYE","BENYRBEG","BLACK","BONELIGB","CLAIMDT","CONTROL","DEPALLOW","ELIG2","EXSTBEN1","EXSTBENY","HIE","HISPANIC","JSIE","L1QWAGES","L2QWAGES","L3QWAGES","L4QWAGES","LAGREE","MALE","MBASR","NATVAMER","NOHSUB","NOHSUB1","OTHERACE","POSPEARN","POSQEARN","PREPEARN","REFILEDT","REFILEIN","REHIRE11","REHIREDT","REHIREIN","RHIREARN","SRBEN1","SRBENYR","VCHPAID","WGETOT1","WGETOT2","WGETOT3","WGETOT4","WGETOT5","WGETOT6","WHITE","WKBENEFT","WKPAID","WKSPDBYE"
"1",29,3367,519,2941,9046,0,0,9046,0,40,1,0,0,1,0,0,3202,3646,3055,3565,1,1,4498,0,1,1,0,1769,1769,3860,9186,1,1,9088,1,1,519,2941,0,3202,3860,1321,1769,0,0,1,133,3,17
"2",29,4175,0,0,8990,0,0,8990,0,0,1,0,0,1,1,0,1555,4944,4946,5255,NA,1,4186,0,0,0,0,0,0,977,9158,1,1,8997,1,0,0,0,0,977,2062,0,0,0,0,0,161,0,0
"3",24,2456,0,0,9004,0,1,9004,1,0,1,0,0,0,0,0,3000,3000,3500,326,NA,0,3120,0,0,0,0,911,911,3086,NA,0,1,9011,1,1,0,0,0,3086,2607,911,1302,1207,2855,1,120,0,0
"4",52,5725,0,0,8983,0,1,8983,0,0,1,0,0,0,0,1,7477,7117,7104,1204,1,1,4186,0,1,1,0,6720,6720,6018,NA,0,1,8993,1,1,0,0,1,6018,5030,6720,5610,5690,5828,1,161,0,0
"5",28,4386,1463,1463,9039,0,1,9039,1,48,1,0,0,0,0,0,4595,4255,4434,4261,NA,1,5434,0,0,0,0,1300,5380,3934,NA,0,1,9098,1,1,1463,1463,0,3934,5090,1300,5380,5382,6662,1,161,7,7
"6",27,3715,596,596,9039,0,1,9039,1,0,1,0,0,0,0,0,4160,3476,3887,3338,NA,1,3874,0,0,0,0,3971,5730,5594,9431,1,1,9075,1,1,596,596,0,5594,4314,3971,5730,4466,2683,1,149,4,4
"7",28,7404,1288,1288,9074,0,1,9074,1,0,1,0,0,0,0,0,7809,7809,7404,6596,NA,0,4186,0,0,0,1,8412,8412,8050,NA,0,1,9138,1,1,1288,1288,0,7809,8050,2477,8412,7734,9036,0,161,8,8
"8",36,4768,6118,6118,9032,0,0,9032,0,0,1,1,1,1,0,0,5638,4807,4715,3912,0,0,4186,0,0,0,0,966,966,5665,NA,0,0,NA,0,0,4186,4186,0,5665,4899,0,0,0,966,1,161,38,38
"9",23,3103,1740,1740,8976,0,0,8976,1,0,1,0,0,0,0,0,4312,3520,3072,1510,NA,1,3770,0,0,0,0,2242,3749,0,NA,0,0,9075,1,0,1740,1740,0,0,0,2242,3749,4705,3712,1,145,12,12
"10",30,5451,0,644,9039,0,1,9039,1,0,1,0,0,0,0,0,5460,5375,5820,5149,NA,1,4186,0,0,0,0,4429,4429,5961,9179,1,1,8185,1,1,0,644,0,5961,7508,4429,3318,10133,9500,1,161,0,4
